,es,it
1360,busolanti,i
1361,denominacin,denominazione
1362,lxico,lesico
1363,corte,delepoca
1364,pontificia,pontificia
1365,asistentes,ala
1366,antecmara,ale
1367,puerta,porta
1368,escondida,nascosta
1369,actualmente,eletori
1370,daba,di
1371,tapicera,minuscolo
1372,minsculo,che
1373,contemplaba,prevedeva
1374,ste,eso
1375,profundamente,sensibilmente
1376,inclusin,linclusione
1377,tantos,sono
1378,episodios,altretanti
1379,dispuestas,disposte
1380,boceto,bozeto
1381,giovan,gauli
1382,batista,batista
1383,gauli,","
1384,jesuitas,gesuiti
1385,rafael,su
1386,descifran,decifrano
1387,obsequio,","
1388,firma,firma
1389,acuerdo,acordo
1390,pactos,stato
1391,previstos,visita
1392,retraso,nominativo
1393,costo,pi
1394,rembolsado,rimborsabile
1395,reservadas,prenotate
1396,canceladas,anulate
1397,razones,ragioni
1398,dicho,per
1399,obtener,otenere
1400,acompada,ombreta
1401,personal,personale
1402,voluntario,volontario
1403,informaciones,informazioni
1404,infopoint,sono
1405,retirar,dpliant
1406,material,materiale
1407,informativo,informativo
1408,menores,","
1409,debern,devono
1410,acompados,lasciare
1411,mayor,mayor
1412,frisos,fregi
1413,adyacente,acanto
1414,calidad,qualit
1415,trabajaron,lavorarono
1416,caraci,caraci
1417,sobrino,nipote
1418,excelentes,ecelenti
1419,sin,escluse
1420,dotes,identificato
1421,cultura,cultura
1422,adyacentes,limitrofe
1423,renovacin,rinovamento
1424,decoraciones,decorazioni
1425,flancos,volta
1426,refinada,simula
1427,imita,marmi
1428,lavado,lavanda
1429,hemos,abiamo
1430,valiosa,preziosa
1431,donada,donata
1432,relaciones,mesico
1433,tarde,oltre
1434,metro,metro
1435,parada,trasferimenti
1436,p,p
1437,za,za
1438,b,b
1439,cavour,cavour
1440,estacin,stazione
1441,trmini,termini
1442,piaza,angelo
1443,cinquecento,fermate
1444,termini,scendere
1445,mambfs,nazionalequirinale
1446,s,si
1447,seguir,e
1448,aeropuerto,di
1449,fiumicino,fiumicino
1450,manica,manica
1451,lunga,lunga
1452,apartamentos,apartamenti
1453,imperiales,imperiales
1454,manga,costituisce
1455,sur,sud
1456,complejo,compleso
1457,arquitectnico,architetonico
1458,edificio,edificio
1459,comenz,iniziata
1460,sixto,sisto
1461,pereti,pereti
1462,alojamientos,alogi
1463,guardia,guardia
1464,suiza,fax
1465,nuevos,nuove
1466,daban,afaciavano
1467,jardn,giardino
1468,patio,il
1469,estrecho,streto
1470,denominar,deto
1471,cambios,le
1472,profundos,profondi
1473,exigencias,esigenze
1474,crear,creare
1475,espacios,","
1476,dotar,ledificio
1477,conectara,il
1478,internamente,palazo
1479,residencia,casa
1480,prtico,logiato
1481,abren,eso
1482,entradas,biglieterie
1483,hospederas,foresterie
1484,destinados,asegnati
1485,amores,amori
1486,dioses,dei
1487,partiendo,da
1488,lindante,atigua
1489,brustolon,brustolon
1490,prosiguiendo,proseguendo
1491,sentido,senso
1492,idilios,e
1493,pasiones,di
1494,marte,e
1495,venus,armida
1496,breas,borea
1497,secuestra,rapisce
1498,orita,e
1499,baco,baco
1500,ariadna,ariana
1501,beauvais,il
1502,cartones,cartoni
1503,colorno,colorno
1504,turn,paolo
1505,stos,questi
1506,psique,psiche
1507,muestra,mostra
1508,tesoros,tesori
1509,hermanas,sorele
1510,basado,valori
1511,cartn,cartone
1512,franois,franois
1513,boucher,boucher
1514,aproximadamente,beauvais
1515,activos,ativi
1516,hija,di
1517,moradas,di
1518,revestimientos,in
1519,pequeo,picolo
1520,japonesa,giaponese
1521,ejemplo,","
1522,gusto,","
1523,as,a
1524,interpretaba,interpretato
1525,principio,democratici
1526,revisten,rivestono
1527,procedentes,profesionisti
1528,residencias,grado
1529,preciosas,preziose
1530,lacas,lache
1531,empleadas,impiegate
1532,formaban,componevano
1533,china,.
1534,duques,duchi
1535,venara,venaria
1536,destinada,destinata
1537,domenico,domenico
1538,reunido,incontrato
1539,prestigiosos,prestigiosi
1540,torins,torinese
1541,hueso,oso
1542,castilo,presentatrice
1543,moncalieri,moncalieri
1544,alojamiento,imperiale
1545,tapa,ribalta
1546,aparato,laparato
1547,iconogrfico,iconografico
1548,figuradas,figurate
1549,sirvi,seguito
1550,tomadas,dal
1551,flamencos,fiaminghe
1552,menudo,come
1553,enriquecidos,arichite
1554,lemas,da
1555,frases,","
1556,carcter,caratere
1557,capacidades,capacit
1558,educacional,eficiente
1559,moralizante,educativo
1560,alusiones,aludono
1561,cualidades,qualit
1562,corta,breve
1563,cuelgan,apesi
1564,casetones,a
1565,luca,luca
1566,biseo,una
1567,cmoda,comode
1568,jeanpiere,jeanpiere
1569,latz,latz
1570,taraceada,con
1571,floreales,motivi
1572,esencias,realizati
1573,bronce,","
1574,datarse,tra
1575,cincuenta,genitori
1576,chinos,e
1577,depositados,in
1578,morada,preso
1579,t,t
1580,comunica,comunica
1581,armoniza,parato
1582,adornos,ornati
1583,bruschi,bruschi
1584,vuelo,volo
1585,marcos,entro
1586,sinuosos,cornici
1587,deriva,dalunione
1588,contiguas,contigue
1589,recmara,restrostanza
1590,alcoba,risolto
1591,dieciochesco,rivestimento
1592,oriental,alorientale
1593,consiste,consiste
1594,boiserie,boiserie
1595,laqueada,lacato
1596,verde,merion
1597,cavidades,spechiature
1598,dorados,cornici
1599,acogen,","
1600,fino,realizati
1601,papel,ruolo
1602,delicadas,esili
1603,rboles,alberi
1604,flor,uceli
1605,animadas,animati
1606,lgneos,lignea
1607,papeles,carte
1608,adaptado,adatata
1609,introduciendo,linserzione
1610,respecto,sistema
1611,fastuosa,tripla
1612,arcada,fastosa
1613,triple,sucedute
1614,motivos,motivi
1615,ramas,","
1616,inspirados,ale
1617,mariposas,decorazioni
1618,aurora,rapresentata
1619,liberan,da
1620,cielo,incorona
1621,velo,rosato
1622,rosado,opera
1623,napolitana,napoletana
1624,ducales,ducali
1625,disponible,disponibile
1626,septiembre,setembre
1627,diciembre,ano
1628,museo,museo
1629,cofe,filipo
1630,rosas,ha
1631,noviembre,novembre
1632,marzo,marzo
1633,lega,giunge
1634,autobs,autobus
1635,localidad,del
1636,tor,paterno
1637,paterno,paterno
1638,visitar,visitare
1639,recoriendo,del
1640,dele,dele
1641,extiende,snoda
1642,inters,interese
1643,naturalistas,naturalistici
1644,acesible,acesibile
1645,propuestos,nominati
1646,permiten,permetono
1647,visitadores,visitatore
1648,conocer,conoscere
1649,ecosistemas,ecosistemi
1650,tpicos,tipici
1651,terminan,concludono
1652,operativa,operativa
1653,perodo,partire
1654,marzojunio,","
1655,duracin,durata
1656,media,media
1657,relativos,titolare
1658,capocota,capocota
1659,riserva,riserva
1660,desarola,svilupa
1661,dehesa,misto
1662,envejecidos,invechiato
1663,quercus,virgiliana
1664,farneto,farneto
1665,carpinus,bianco
1666,utilizados,","
1667,pasado,tocato
1668,producin,produzione
1669,objeto,teso
1670,intervencin,intervento
1671,recalificacin,riqualificazione
1672,habiendo,novembre
1673,sometida,subto
1674,transformaciones,trasformazioni
1675,vetustos,vetusti
1676,especies,di
1677,invertebrados,invertebrati
1678,vinculados,legati
1679,troncos,legno
1680,descomposicin,decomposizione
1681,h,.
1682,longitud,lungheza
1683,lineales,lineari
1684,antica,antica
1685,travs,atraverso
1686,tipologas,tipologie
1687,mixtos,misti
1688,itinerario,nei
1689,sigue,segue
1690,vas,anticamente
1691,conducan,portavano
1692,leyendas,madrid
1693,inicio,inizio
1694,punto,momento
1695,acogida,acoglienza
1696,incluyendo,inclusi
1697,lungitud,lungheza
1698,malafede,malafede
1699,bosque,bosco
1700,ceris,farneto
1701,ilex,","
1702,testimonios,testimonianze
1703,suber,sughera
1704,reducin,riduzione
1705,forestales,forestali
1706,favoreciendo,favorendo
1707,recuperacin,recupero
1708,encinas,lecete
1709,bosques,machia
1710,mediterneo,mediteraneo
1711,refugio,rifugio
1712,ptimo,otimale
1713,invertebrada,invertebrata
1714,herbcea,erbacea
1715,tpica,tipica
1716,capas,sabiosi
1717,arenosas,aridi
1718,ridas,locali
1719,zonas,zone
1720,hmedas,umide
1721,estanques,piscine
1722,frecuentados,","
1723,reptiles,di
1724,anfibios,acquatici
1725,importancia,","
1726,sector,setore
1727,sometido,sotoposto
1728,protecin,e
1729,interesante,dialogo
1730,contacto,contato
1731,pastoreo,agricolo
1732,ganado,pascolo
1733,vacuno,brado
1734,equino,bovini
1735,raza,equini
1736,maremana,maremani
1737,antiguas,antiche
1738,agrarias,ativit
1739,pastorales,agropastorali
1740,pinedas,pinete
1741,mediterneos,mediteranea
1742,hmeda,pi
1743,extensa,estesa
1744,lamos,dificile
1745,acuticos,","
1746,observar,diverse
1747,aves,acquatici
1748,palustres,","
1749,insectos,e
1750,malpaso,malpaso
1751,mbito,ambito
1752,paisaje,per
1753,articulado,articolato
1754,caracterizado,caraterizato
1755,colinas,base
1756,avifauna,lavifauna
1757,rica,","
1758,colnias,colonie
1759,milvus,nibio
1760,migran,bruno
1761,numerosa,pi
1762,regin,regione
1763,sumamente,molto
1764,contigua,agricola
1765,convive,","
1766,fbricas,fabriche
1767,conservacin,conservative
1768,quitar,dei
1769,descubri,e
1770,restaurado,un
1771,fuentes,ed
1772,mandado,costruire
1773,paolo,peroni
1774,reconocer,la
1775,fachada,faciata
1776,baslica,basilica
1777,santa,","
1778,esquina,angolo
1779,tmperas,dipinte
1780,imitaban,stofe
1781,telas,che
1782,revestan,pareti
1783,valor,valore
1784,divanes,divani
1785,fabricacin,fabricazione
1786,singular,singolare
1787,pareja,candelabri
1788,candelabros,bronzo
1789,hojalata,lata
1790,porcelana,porcelana
1791,meisen,meisen
1792,aguas,acque
1793,jueves,giovedi
1794,estar,esere
1795,cerada,chiuso
1796,especficas,a
1797,siguiente,come
1798,anunciada,delanunziata
1799,joaqun,gioachino
1800,ngel,ngel
1801,padre,padre
1802,retablo,pala
1803,anunciacin,lanunciazione
1804,vuelto,ricolocata
1805,emblemas,stemi
1806,permita,consentiva
1807,reservado,riservato
1808,ela,realizata
1809,nico,unico
1810,elemento,pavimento
1811,chiaramonti,","
1812,geometra,geometria
1813,ala,","
1814,recepciones,ricevimenti
1815,tuvieron,svolte
1816,salones,saloni
1817,contiguos,utilizata
1818,lavar,lavagio
1819,vajilas,stoviglie
1820,grande,grande
1821,manteniendo,mantenendo
1822,similar,laspeto
1823,debi,doveva
1824,construido,e
1825,aquela,le
1826,majestuoso,sofito
1827,artesonado,ligneo
1828,espejo,alo
1829,dibujo,disegno
1830,geomtrico,geometrico
1831,puertas,porte
1832,doble,doble
1833,luneta,luneta
1834,pies,piedi
1835,landini,landini
1836,esculpida,scolpita
1837,pedro,pedro
1838,trasladada,fu
1839,tasi,","
1840,lanfranco,.
1841,acorde,paso
1842,funcin,loro
1843,diplomticas,diplomaticas
1844,legadas,giunte
1845,pases,di
1846,lejanos,lontani
1847,estudiada,studiata
1848,japons,giaponese
1849,hasekura,hasekura
1850,tsunenenaga,tsunenaga
1851,recibido,dal
1852,meses,mesi
1853,realizaran,realizazione
1854,unificacin,lunit
1855,cruzado,crociato
1856,instalar,un
1857,pensula,","
1858,celebrar,ter
1859,reunificacin,del
1860,sufri,sub
1861,decadencia,decadenza
1862,proyect,proget
1863,utilizarlo,uso
1864,pista,pista
1865,patinaje,patinagio
1866,cubierta,da
1867,tenis,tenis
1868,historia,storia
1869,victoria,vitoria
1870,seguimos,sempre
1871,partir,dal
1872,dedic,ha
1873,guera,guera
1874,confirma,come
1875,animadsima,lanimatisima
1876,batala,bataglia
1877,pint,anche
1878,bvedas,volte
1879,yeso,geso
1880,decora,decora
1881,coherente,coerente
1882,denominados,dodici
1883,doce,cesari
1884,romanos,romani
1885,csar,csar
1886,domiciano,domiziano
1887,dispuestos,disposti
1888,victorias,vitorie
1889,aladas,alate
1890,corespondiente,interesata
1891,pio,vi
1892,nombres,nomi
1893,preciosos,mobili
1894,delicado,delicato
1895,secreter,dalebanista
1896,firmado,","
1897,martin,carlin
1898,svres,svres
1899,canastos,cesti
1900,siete,sete
1901,vienesa,di
1902,carolina,dasburgo
1903,habsburgo,","
1904,ferdinando,ferdinando
1905,iv,iv
1906,nonacntico,otocentesco
1907,columna,colona
1908,alabastro,alabastro
1909,coronada,sormontata
1910,mecanismo,mecanismo
1911,fases,fasi
1912,perici,che
1913,ignazio,perici
1914,suntuosa,sontuosa
1915,espejos,spechi
1916,magnficos,magnifici
1917,agraciadas,legiadre
1918,amor,loscura
1919,macari,macari
1920,sensual,alo
1921,mobiliario,tardotocentesco
1922,perfectamente,perfetamente
1923,detenidamente,oservando
1924,respaldos,schienali
1925,ver,stata
1926,monograma,il
1927,representaban,finestre
1928,constituyen,il
1929,disonante,imprese
1930,repite,ripetuta
1931,refleja,riflete
1932,simbolizar,simbolegiare
1933,lamado,chiamato
1934,gracia,grazie
1935,tribunal,corte
1936,cre,guida
1937,elegante,elegante
1938,princesa,principesa
1939,futura,futura
1940,supervisaba,regina
1941,personalmente,sua
1942,fastuoso,alo
1943,quedara,","
1944,olvidada,di
1945,baile,balo
1946,sugieren,rivelano
1947,suspendidas,sospese
1948,cubiertas,seno
1949,centeleante,sfavilante
1950,infinito,infinito
1951,luces,","
1952,aras,lampadari
1953,murano,murano
1954,avivado,ravivato
1955,talado,dagli
1956,dorado,intagli
1957,drapeado,dorati
1958,cortinas,","
1959,pasadizo,pasageto
1960,comunicaba,coridoio
1961,verano,scorsa
1962,invernal,invernali
1963,primeras,prime
1964,pasilo,coridoio
1965,decorador,decoratore
1966,falsa,finta
1967,alta,alta
1968,dragn,drago
1969,guila,laquila
1970,slo,ultimi
1971,bajo,soto
1972,simone,veil
1973,lagi,lagi
1974,tulio,","
1975,montagna,montagna
1976,enriquecieron,arichirono
1977,lugares,siti
1978,papado,pontificato
1979,interesantes,interesanti
1980,vivaz,vivace
1981,vista,veduta
1982,mar,renza
1983,mapas,geografiche
1984,precisin,di
1985,miniatura,miniatura
1986,asedio,lasedio
1987,casale,casale
1988,monferato,monferato
1989,evoca,rievoca
1990,acaecido,avenuto
1991,escalera,foto
1992,mascarino,grupo
1993,encargado,ocuper
1994,ubicacin,che
1995,aprovechando,cogliendo
1996,considerado,ritenuto
1997,ventilado,ebraico
1998,plantas,racontare
1999,esmero,curato
2000,escogiendo,storia
2001,mensaje,al
2002,ao,febraio
2003,giorgio,giorgio
2004,napolitano,napolitano
2005,noches,sera
2006,vosotros,voi
2007,estis,siete
2008,escucha,sente
2009,acercarse,rivolgervi
2010,deseos,e
2011,cordiales,afetuoso
2012,cariosos,","
2013,quisiera,provarmi
2014,compartir,a
2015,reflexiones,riflesioni
2016,difcil,e
2017,experimentado,abiamo
2018,distancia,distanza
2019,podemos,mi
2020,esfuerzo,impegno
2021,lograron,che
2022,resultados,risultati
2023,nivel,livelo
2024,mundial,governance
2025,situaciones,situazioni
2026,semejantes,simili
2027,representantes,deputati
2028,estados,stati
2029,tanta,di
2030,discutieran,lavorasero
2031,buscar,dele
2032,salidas,vie
2033,esto,ci
2034,sucedi,nel
2035,tejido,e
2036,sociedad,societ
2037,ante,delegato
2038,inteligencia,inteligenza
2039,flexibilidad,dutilit
2040,confianza,fiducia
2041,puedo,poso
2042,precio,di
2043,pagado,noi
2044,riesgo,si
2045,coremos,e
2046,deber,aver
2047,trminos,termini
2048,sociales,sociali
2049,grave,grave
2050,consumo,alimentare
2051,industrial,industriale
2052,medianas,partner
2053,sufrido,subito
2054,campo,lasciare
2055,capital,capitale
2056,ampliado,protezione
2057,medidas,di
2058,temporal,temporaneo
2059,contratos,cui
2060,defensas,cui
2061,siguen,rimangono
2062,dbiles,rimaste
2063,tendencia,ogi
2064,aumento,ani
2065,plano,piano
2066,contradiciones,contradizioni
2067,economa,daleconomia
2068,hace,non
2069,dije,afrontiamo
2070,afrontemos,la
2071,prueba,alo
2072,oportunidad,oportunit
2073,pas,nazione
2074,perspectivas,quale
2075,desarolo,svilupo
2076,insuficiencias,e
2077,ajustando,conti
2078,cuentas,con
2079,arastrando,dietro
2080,estamos,siamo
2081,an,ancora
2082,discurso,un
2083,compromiso,limpegno
2084,debemos,con
2085,cmo,com
2086,lograrlo,riuscirvi
2087,mirando,guardando
2088,valerosamente,coragio
2089,crticos,critici
2090,reformas,le
2091,emprendiendo,quele
2092,tomando,quele
2093,dejndonos,guidare
2094,guiar,da
2095,valores,i
2096,solidaridad,solidariet
2097,humana,umana
2098,comenzar,parto
2099,familias,due
2100,problemas,dificolt
2101,varios,a
2102,hijos,figli
2103,ancianos,anziani
2104,trabaja,impegnato
2105,sola,solo
2106,encuestas,condote
2107,parlamento,parlamento
2108,revelan,dicono
2109,internacionales,internazionali
2110,elevado,livelo
2111,desigualdad,dela
2112,retribuciones,retribuzioni
2113,trabajadores,","
2114,dependientes,santa
2115,seguido,continuato
2116,elevada,penalizate
2117,presin,presione
2118,fiscal,procuratore
2119,cotizaciones,contributiva
2120,renta,redito
2121,atpicos,","
2122,slamente,ofrir
2123,dar,il
2124,acerca,sul
2125,cosa,cosa
2126,corer,corere
2127,vean,vedano
2128,realizarse,realizarsi
2129,empleo,non
2130,propio,proprio
2131,generaciones,impedimento
2132,reservas,riserve
2133,magnficas,magnifiche
2134,energa,","
2135,talento,talento
2136,voluntad,di
2137,creo,credo
2138,retrica,retorica
2139,he,mio
2140,visto,visto
2141,manifiestan,sule
2142,concreto,particolare
2143,pasin,pasione
2144,laboratorios,laboratori
2145,investigacin,ricerca
2146,orgulo,e
2147,especializados,specializati
2148,fuerte,forte
2149,tecnologa,d
2150,empeo,impegno
2151,expresan,profondo
2152,orquestas,giovani
2153,concebidas,concepite
2154,dirigidas,volte
2155,pienso,detenuti
2156,motivacin,motivazione
2157,preparan,preparano
2158,seleciones,selezioni
2159,difciles,","
2160,careras,careras
2161,pblicas,publiche
2162,verdad,verit
2163,energas,energie
2164,escoger,le
2165,mejores,migliori
2166,desafortunadamente,sono
2167,forcejean,si
2168,vana,ricerca
2169,confo,nelinsieme
2170,pblicos,publici
2171,deben,devono
2172,garantizarles,di
2173,decisiva,formarsi
2174,formarse,a
2175,sistema,prstv
2176,moderno,o
2177,eficiente,di
2178,capaz,emergere
2179,emerger,di
2180,crecimiento,crescita
2181,futuro,sul
2182,sabemos,sapiamo
2183,decisiones,scelte
2184,pasados,abiamo
2185,anunci,anunciato
2186,complicados,la
2187,amparo,e
2188,social,sociale
2189,apunta,chiamata
2190,finalmente,finalmente
2191,respuestas,risposte
2192,quienes,che
2193,extremadamente,estremamente
2194,flexibles,flesibilit
2195,precarias,precariet
2196,comprometido,impegnato
2197,reorganizar,riordinare
2198,hacienda,finanza
2199,pblica,publica
2200,regularla,con
2201,leyes,legislativi
2202,votado,su
2203,amplia,ampia
2204,ahora,vengo
2205,reforma,rivisti
2206,justicia,giustizia
2207,menos,arivare
2208,econmicas,","
2209,bloqueadas,blocate
2210,clima,clima
2211,sospecha,sospeto
2212,fuerzas,forze
2213,polticas,ale
2214,cuestiones,principali
2215,prejudiciales,oposte
2216,constitucin,costituzione
2217,revisada,rivista
2218,proponen,propone
2219,distintas,","
2220,formaciones,nela
2221,modificada,modificata
2222,procedimientos,seguenti
2223,esencial,esenziale
2224,renovado,ancoragio
2225,nuestro,nostro
2226,juntos,vivere
2227,nacin,nazione
2228,fundamentales,nela
2229,ejecutivo,","
2230,poder,poter
2231,legislativo,legislativo
2232,garanta,europei
2233,reglas,regole
2234,den,regole
2235,aconsejado,consigliato
2236,moderacin,misura
2237,realismo,realismo
2238,legar,arivare
2239,coincidencia,condivisione
2240,sugiriera,","
2241,comn,comune
2242,quiero,non
2243,confiar,fiducia
2244,avanzar,senso
2245,recriminaciones,recriminazioni
2246,contraposiciones,e
2247,aranque,slancio
2248,seguro,pi
2249,encaminarse,crisi
2250,requiere,sociali
2251,participacin,intensa
2252,difusas,partecipazione
2253,rico,mostrato
2254,marcado,sul
2255,eventos,eventi
2256,trgicos,fati
2257,demostrado,imposta
2258,poblaciones,popolazioni
2259,cados,caduti
2260,afganistn,afganistan
2261,dedicndose,generosamente
2262,carioso,di
2263,solos,","
2264,lucha,lota
2265,soporte,lota
2266,necesario,ocore
2267,siente,esere
2268,realidades,realt
2269,sufre,sofre
2270,ah,","
2271,privado,privato
2272,primarios,penso
2273,detenidos,sovrafolate
2274,atestadas,si
2275,vive,","
2276,decentemente,si
2277,abusos,abusi
2278,significa,significa
2279,extranjeros,stranieri
2280,vienen,vengono
2281,modos,modi
2282,establecidos,stabiliti
2283,desempear,un
2284,honesto,lavoro
2285,encontrar,come
2286,persecuciones,persecuzioni
2287,legalidad,legalit
2288,severas,pur
2289,racismo,guardia
2290,mal,esere
2291,aquelos,queli
2292,niegan,da
2293,proteger,la
2294,cohesin,","
2295,esenciales,valutare
2296,condicin,condizione
2297,bienestar,prosperit
2298,vez,volta
2299,factores,fatori
2300,moral,europea
2301,descubrir,scoprire
2302,reafirmar,riafermino
2303,ampliamente,negati
2304,ignorados,negli
2305,negados,tempi
2306,respeto,nel
2307,deberes,doveri
2308,estilos,stili
2309,atencin,latenzione
2310,rechazo,","
2311,intransigente,rifiuto
2312,violencia,violenza
2313,sugestin,sugestione
2314,fatal,fatale
2315,insine,insinua
2316,considero,considero
2317,lamamiento,richiamo
2318,morales,incontriamo
2319,religiosos,religiosi
2320,laicos,laici
2321,concepto,conceto
2322,leciones,tenga
2323,cuenta,considerata
2324,reciente,ultima
2325,alarma,delalarme
2326,inspiracin,dalispirazione
2327,pensamiento,pensiero
2328,veo,egualmente
2329,ese,al
2330,italiana,republica
2331,cierto,giorno
2332,dividido,diviso
2333,parece,credo
2334,miramos,guarda
2335,tensiones,tensioni
2336,mi,mio
2337,esforzarme,sforzarmi
2338,atenuar,atenuare
2339,espero,auguro
2340,agresin,delagresione
2341,peligrosas,esasperazioni
2342,polmicas,","
2343,sera,di
2344,yo,una
2345,aseguraros,asicurarvi
2346,propuesto,deciso
2347,perseverar,perseverare
2348,paciencia,pazienza
2349,porque,perch
2350,nada,anzituto
2351,confortador,contribuire
2352,serenidad,serenit
2353,me,mi
2354,emocionaron,tocato
2355,palabras,termini
2356,comandante,comandante
2357,amados,contingente
2358,nuestros,nostri
2359,desplegados,cari
2360,militares,militari
2361,misiones,di
2362,extranjero,alestero
2363,ciudadanos,citadini
2364,acuciantes,asilanti
2365,sirven,serve
2366,escrupulosamente,","
2367,armadas,delordine
2368,estabilidad,e
2369,policiales,delordine
2370,necesidad,necesit
2371,coresponder,corispondere
2372,responsabilidades,elevate
2373,poltica,afiliazione
2374,esperanza,per
2375,siento,di
2376,transmitiros,trasmetere
2377,quiere,vuole
2378,sabe,sabe
2379,trastornado,sconvolto
2380,turbado,turbato
2381,amenazas,minace
2382,renueva,","
2383,inquietante,inquietante
2384,venido,venute
2385,coperacin,coperazione
2386,legado,ai
2387,nuestra,e
2388,europa,aleuropa
2389,instituciones,istituzioni
2390,reforzar,raforzare
2391,relanzar,per
2392,ofreciendo,anche
2393,italianas,italiane
2394,procedencias,che
2395,dis,salutate
2396,saludis,nuovo
2397,amis,lo
2398,bienvenida,benvenuto
2399,lejos,ma
2400,feliz,buon
2401,misa,in
2402,horas,","
2403,presentacin,presentazione
2404,libro,di
2405,ad,ad
2406,quota,quota
2407,lela,lela
2408,golfo,golfo
2409,autora,lautrice
2410,espa,cultura
2411,benedeta,benedeta
2412,poleti,poleti
2413,directora,diretore
2414,ele,ele
2415,nicoleta,negrini
2416,negrini,la
2417,presidenta,presidente
2418,academia,academia
2419,ana,ana
2420,fumarola,fumarola
2421,teremoto,colpito
2422,donaciones,superano
2423,cruz,croce
2424,roja,rosa
2425,detalan,comunicano
2426,cordinadas,cordinate
2427,poste,causale
2428,italiane,","
2429,croce,croce
2430,bicswift,bicswift
2431,transferencias,per
2432,bancarias,trasferimenti
2433,bpitrx,bpitrx
2434,contribuir,contribuire
2435,financieramente,finanziariamente
2436,congreso,camera
2437,anual,anuale
2438,siena,per
2439,asociation,ba
2440,international,youth
2441,of,reale
2442,universities,siena
2443,octubre,otobre
2444,acoger,ospiter
2445,organizacin,delorganizazione
2446,unesco,dalunesco
2447,instituida,nel
2448,objetivo,obietivo
2449,promover,promuovere
2450,educacin,ministero
2451,consultar,consultare
2452,pgina,espaolas
2453,htpsw,htpsw
2454,recital,recital
2455,benfico,benefico
2456,soprano,soprano
2457,ombreta,ombreta
2458,machi,machi
2459,favor,del
2460,beneficiencia,sib
2461,teatro,teatro
2462,escuela,scuola
2463,estatal,statale
2464,cale,cale
2465,agustn,diputado
2466,betancourt,betancourt
2467,concierto,concerto
2468,visi,natale
2469,darte,","
2470,delanima,darte
2471,piano,maestro
2472,organizado,organizato
2473,patrocinio,patrocinio
2474,embajada,ambasciata
2475,lrico,del
2476,recaudar,racolta
2477,fondos,le
2478,asistencia,asistenza
2479,beneficencia,a
2480,sib,sib
2481,maestro,maestro
2482,filipo,filipo
2483,bulfamante,bulfamante
2484,bilaterales,bilaterali
2485,dejado,smeso
2486,mercados,spagnolo
2487,exportaciones,esportazioni
2488,destinos,","
2489,gracias,intenzionate
2490,espaola,spagnola
2491,interna,linterscambio
2492,globales,globali
2493,intercambios,scambi
2494,euros,.
2495,milones,milioni
2496,cifra,limporto
2497,alcanz,ragiunto
2498,comercio,estero
2499,alcanzaron,ragiunto
2500,espaolas,spagnole
2501,supuso,rapresentato
2502,evolucin,espropriazione
2503,importaciones,importazioni
2504,contenida,contenuto
2505,experimentando,un
2506,ranking,ranking
2507,n,n
2508,unidos,uniti
2509,provisionales,provisori
2510,fuente,fonte
2511,estacom,estacom
2512,estadsticas,statistiche
2513,icex,icex
2514,exportacin,e
2515,francia,","
2516,seguidos,regno
2517,italiano,italiano
2518,experiment,un
2519,provedores,fornitori
2520,euro,euro
2521,clasificacin,graduatoria
2522,ocupan,coperti
2523,crecimiendo,due
2524,cifras,i
2525,incremento,un
2526,destacar,segnalare
2527,buenos,buoni
2528,reino,regno
2529,concentra,concentra
2530,macrosector,macro
2531,materias,prime
2532,primas,materie
2533,industriales,industriali
2534,bienes,beni
2535,instrumentales,strumentali
2536,espaol,italiano
2537,ventas,vendite
2538,total,totale
2539,sita,coloca
2540,cuarta,quarto
2541,cuota,sul
2542,creci,cresciuta
2543,dcimas,","
2544,alcanzando,i
2545,tercera,il
2546,peso,peso
2547,locales,locale
2548,qumicos,chimici
2549,encabezan,capegiano
2550,equipamientos,aparechiature
2551,componentes,componenti
2552,sidergicos,siderurgici
2553,experimentaron,un
2554,disminucin,del
2555,confecin,sartoriali
2556,posiciones,posizioni
2557,combustibles,combustibili
2558,lubricantes,lubrificanti
2559,obtenidos,otenuti
2560,automviles,asociazione
2561,maquinaria,","
2562,elctrico,eletrico
2563,colectivos,coletivit
2564,mercado,eletrico
2565,grasas,posizioni
2566,aceites,e
2567,hortofrutcolas,prodoti
2568,congelados,e
2569,aumentos,del
2570,inversin,delinvestimento
2571,extranjera,o
2572,referentes,relativi
2573,registran,basi
2574,significativo,significativo
2575,entra,resta
2576,inversiones,internazionali
2577,productivas,produtive
2578,excluidas,escluse
2579,igualmente,","
2580,etve,etve
2581,acrnimo,acronimo
2582,tenencia,de
2583,sociedades,","
2584,financieros,finanziari
2585,inversores,investitori
2586,registro,registro
2587,flujos,flusi
2588,ultimate,ultimate
2589,brutas,lordi
2590,semestre,al
2591,beneficial,beneficial
2592,owner,owner
2593,postura,posizione
2594,round,investment
2595,trips,trip
2596,capitales,capitali
2597,titular,ultimo
2598,residente,residente
2599,datainvex,ministerio
2600,competitividad,competitividad
2601,encabezado,capegiato
2602,luxemburgo,lusemburgo
2603,cual,quali
2604,aclarar,che
2605,explica,indicato
2606,receptores,ricetori
2607,ide,ide
2608,canad,canada
2609,recibi,ha
2610,volumen,","
2611,totalidad,totalit
2612,extracin,di
2613,petrleo,e
